adate,Prov,Network,BTS,District,Total_Cell,Cell_down,Downtime_hour,Count_downtime,AVG_downhour,Issue,Type,Long,Latt
20230321,VTE,2G,VTE0536_TANMIXAI_RSU,XAITHANY,3,0,0,0,0,,Cell,102.62923,18.03431
20230228,XKH,4G,XKH0005_BANDONG,Pek,6,0,0,0,0,,Cell,103.275398,19.489379
20230228,XYL,4G,XYL0109_BANPHOUN,Kenthao,3,0,0,0,0,,Cell,101.40801,17.737947
20230228,BLK,3G,BLK0098_BOUNGKOUANG_NEW,Pakkading,6,0,0,0,0,,Cell,104.231602,17.98244
20230228,VTE,4G,VTE0634_THINPEER,Hatxayfong,9,0,0,0,0,,Cell,102.65152,17.82763
20230228,CHP,3G,CHP0340_KM30_13S_ROAD,Pathoumphon,6,0,0,0,0,,Cell,105.938,14.9381
20230321,KHM,3G,KHM0084_BORKEUADONGTAI,Xaibouathong,8,0,0,0,0,,Cell,105.47087,17.1436
20230228,ATP,3G,ATP0085_SOMBOON_ZOON,Phouvong,6,0,0,0,0,,Cell,107.269,14.7473
20230228,SVN,3G,SVN0229_ANUSANYA,Phin,4,0,0,0,0,,Cell,105.84977,16.572838
20230321,KHM,3G,KHM0214_NAPHAO,Boualapha,6,0,0,0,0,,Cell,105.762,17.6666
20230321,VTE,4G,VTE0526_SAPHANGKANONG2,Xaithani,5,0,0,0,0,,Cell,102.736886,18.028138
20230228,XYL,2G,XYL0154_M_XIENGHORN,Xianghon,3,0,0,0,0,,Cell,100.81402,19.62625
